radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,404,78,33081,20211236,0,77.434112,23.229134,1000,57,1,1458633517,1494661294,0
UMTS,404,78,33081,20211376,0,77.440567,23.175659,1000,2,1,1458633518,1487456424,0
UMTS,404,78,33081,20209756,0,77.443313598633,23.168106079102,1000,1,1,1441619338,1441619338,0
UMTS,404,78,33081,20211856,0,77.406235,23.225,1000,7,1,1458633518,1489842629,0
UMTS,404,78,33081,20233075,0,77.48313903808601,23.144760131835998,1000,1,1,1457562240,1457562240,0
UMTS,404,78,33081,20231296,0,77.449493,23.199692000000002,1000,4,1,1458633518,1489842629,0
UMTS,404,78,33081,20211685,0,77.33345,23.185272,1000,2,1,1458633518,1485405386,0
UMTS,404,78,33081,20211655,0,77.430953979492,23.201065063477,1000,3,1,1458633518,1475650584,0
UMTS,404,78,33081,20230437,0,77.51197814941399,23.190078735352,1000,1,1,1457562229,1457562229,0
UMTS,404,78,33081,20234286,0,77.47215270996101,23.157119750977,1000,2,1,1458633518,1461104776,0
UMTS,404,78,33081,20207056,0,77.399368286133,23.235397338867003,1000,4,1,1458633515,1476872568,0
UMTS,404,78,33081,20208137,0,77.449493,23.183212,1000,2,1,1458633516,1460859843,0
UMTS,404,78,33081,20207895,0,77.436447143555,23.231277465820003,1000,1,1,1456373306,1456373306,0
UMTS,404,78,33081,20207915,0,77.418594360352,23.225784301757997,1000,5,1,1458633516,1479048990,0
UMTS,404,78,33081,20207865,0,77.430953979492,23.172225952148,1000,2,1,1458633516,1487456424,0
UMTS,404,78,33081,20211224,0,77.436447143555,23.232650756835998,1000,4,1,1458633517,1482995992,0
UMTS,404,78,33081,20211217,0,77.458419799805,23.212051391602,1000,1,1,1435910621,1435910621,0
UMTS,404,78,33081,20209427,0,77.441940307617,23.192825317382997,1000,1,1,1452337876,1452337876,0
UMTS,404,78,33081,20209447,0,77.426834106445,23.188705444335998,1000,4,1,1458633517,1485329223,0
UMTS,404,78,33081,20211126,0,77.37190246582,23.166732788085998,1000,1,1,1438500745,1438500745,0
UMTS,404,78,33081,20211906,0,77.498245239258,23.148880004882997,1000,1,1,1446378394,1446378394,0
UMTS,404,78,33081,20233077,0,77.48313903808601,23.143386840820003,1000,1,1,1457562240,1457562240,0
UMTS,404,78,33081,20231297,0,77.466659545898,23.195571899414002,1000,2,1,1458633518,1476872568,0
UMTS,404,78,33081,20234257,0,77.46407099999999,23.168751999999998,1000,4,1,1458633518,1492540200,0
UMTS,404,78,33081,20231295,0,77.474899291992,23.190078735352,1000,1,1,1440931954,1440931954,0
UMTS,404,78,33081,20211937,0,77.422714233398,23.166732788085998,1000,1,1,1439467213,1439467213,0
UMTS,404,78,33081,20243827,0,77.33139,23.184586,1000,2,1,1458633520,1485405386,0
UMTS,404,78,33081,20208117,0,77.429580688477,23.232650756835998,1000,1,1,1437355944,1437355944,0
UMTS,404,78,33081,20208645,0,77.39387512207,23.227157592773,1000,1,1,1445136445,1445136445,0
UMTS,404,78,33081,20207906,0,77.432053,23.232651,1000,5,1,1458633516,1477057652,0
UMTS,404,78,33081,20207877,0,77.411727905273,23.210678100585998,1000,1,1,1428030104,1428030104,0
UMTS,404,78,33081,20208115,0,77.429580688477,23.232650756835998,1000,2,1,1458633516,1474785818,0
UMTS,404,78,33081,20208155,0,77.428436,23.214798000000002,1000,6,1,1458633516,1489359648,0
UMTS,404,78,33081,20208285,0,77.452926635742,23.205184936523,1000,1,1,1451346651,1451346651,0
UMTS,404,78,33081,20211235,0,77.434,23.229151,1000,23,1,1458633517,1494662570,0
UMTS,404,78,33081,20211237,0,77.434007,23.229177,500,105,1,1458633517,1494668051,0
UMTS,404,78,33081,20209426,0,77.444686889648,23.185958862305004,1000,11,1,1458633517,1485183580,0
UMTS,404,78,33081,20211686,0,77.32933044433601,23.185958862305004,1000,1,1,1445759561,1445759561,0
