,Unnamed: 0,radio,lon,lat,range,TowerID,Address
27,27,GSM,77.399224,23.2393,1000,40493-39045-13571,"Subhash Yadav Marg ,45 Bunglows ,Ibrahimpura ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
28,28,GSM,77.436447143555,23.199691772460998,1000,40493-39045-36812,"BASANT KUNJ ,Hoshangabad Road ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
29,29,GSM,77.435861,23.200004,1000,40493-39045-36813,"BASANT KUNJ ,Hoshangabad Road ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
30,30,GSM,77.433757,23.196088,1000,40493-39045-38201,"Central Government Colony ,Hoshangabad Road ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
31,31,GSM,77.43093,23.197055,1000,40493-39045-38472,"SHAHPURA VILLAGE ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
32,32,GSM,77.42959300000003,23.201620000000002,1000,40493-39045-38471,"Shahpura Sector A & B ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
33,33,GSM,77.427559,23.20213900000001,1000,40493-39045-38473,"Nabard Officers Colony ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
34,34,GSM,77.42428100000002,23.20128,1172,40493-39045-38382,"Nabard Officers Colony ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
35,35,GSM,77.424513,23.205406,2220,40493-39045-51662,"Shahpura Lake ,Kolar Road ,CHUNA BHATTI ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
36,36,GSM,77.420124,23.202247,1186,40493-39045-58061,"Shahpura Lake ,Kolar Road ,CHUNA BHATTI ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
37,37,GSM,77.411344,23.197419,1155,40493-39045-58063,"CHUNA BHATTI ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
38,38,GSM,77.410257,23.198041,1000,40493-39045-38383,"Walmi Road ,Chuna Bhatti ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
39,39,GSM,77.404443,23.190476,1200,40493-39045-58062,"CI Enclave ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
40,40,GSM,77.408981323242,23.191452026367003,1000,40493-39045-38193,"Shahpura ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
41,41,GSM,77.410224,23.198972,1000,40493-39045-51663,"Walmi Road ,Chuna Bhatti ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
42,42,GSM,77.408997,23.192154000000002,1000,40493-39045-38191,"Shahpura ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
43,43,GSM,77.408981323242,23.191452026367003,1000,40493-39045-24652,"Shahpura ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
44,44,GSM,77.408981323242,23.191452026367003,1000,40493-39045-21146,"Shahpura ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
45,45,GSM,77.408981323242,23.191452026367003,1000,40493-39045-21148,"Shahpura ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
46,46,GSM,77.408981323242,23.191452026367003,1000,40493-39045-36103,"Shahpura ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
47,47,GSM,77.408981323242,23.191452026367003,1000,40493-39045-36101,"Shahpura ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
48,48,GSM,77.423484,23.211783999999998,2703,40493-39045-38173,"Ekant Park ,Kolar ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
49,49,GSM,77.430339,23.218035,1000,40493-39045-38171,"E-1 ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
50,50,GSM,77.43519599999998,23.216634,1000,40493-39045-38243,"Board Colony ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
51,51,GSM,77.43413199999998,23.214924,1000,40493-39045-19073,"E-5 ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
52,52,GSM,77.434083,23.220582,1000,40493-39045-37962,"E-2 ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
53,53,GSM,77.43271800000002,23.225085999999997,1000,40493-39045-37961,"No 6 Locality ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
54,54,GSM,77.43441899999998,23.226619,1000,40493-39045-22937,"No 6 Locality ,Bhopal ,Huzur Tahsil ,Bhopal ,Madhya Pradesh ,462001 ,India ,in"
